Freq (Hz)	SE_unstirred(dB)	SE_stirred(dB)	SE_tot	<SE point (dB)>	Stdev(SE point (dB))
7750000000	37.472	20.476226	20.749	20.849	6.592
7800000000	18.376	20.288163	20.249	19.769	8.676
7850000000	18.712	19.543926	19.531	19.403	7.780
7900000000	16.238	19.363390	19.307	18.078	7.422
7950000000	28.405	17.658934	18.238	18.616	8.155
8000000000	-4.862	16.485635	16.428	16.839	7.264
8050000000	22.842	14.437576	14.540	14.103	8.113
8100000000	14.942	13.532306	13.561	13.387	6.923
8150000000	12.050	12.900865	12.894	12.636	7.391
8200000000	3.145	9.781528	9.695	10.355	7.297
8250000000	5.451	8.708501	8.670	8.944	6.194
8300000000	20.421	5.811235	5.916	6.677	8.664
8350000000	-12.203	1.231689	1.191	0.151	7.373
8400000000	0.427	2.992636	2.964	2.570	9.334
8450000000	17.183	6.435666	6.744	5.926	8.185
8500000000	6.512	8.236675	8.231	8.457	7.909
8550000000	3.830	11.459304	11.324	10.632	7.711
8600000000	9.225	13.326587	13.249	12.852	7.966
8650000000	15.980	14.900204	14.921	15.049	6.358
8700000000	9.209	15.952183	15.598	15.755	8.489
8750000000	17.438	16.294668	16.302	15.934	7.331
8800000000	17.454	18.210287	18.201	17.620	8.704
8850000000	19.107	18.990887	18.994	19.041	7.635
8900000000	27.288	20.180466	20.205	20.771	6.890
8950000000	12.193	20.351236	20.318	20.152	8.544
9000000000	29.388	20.686993	20.815	19.952	6.733
9050000000	29.267	23.336070	23.389	23.173	6.336
9100000000	21.358	22.780839	22.756	23.148	7.191
9150000000	14.222	22.842335	22.564	21.908	8.797
9200000000	18.623	23.584637	23.434	23.347	7.747
9250000000	18.377	22.984868	22.936	23.212	7.418
9300000000	28.099	24.571257	24.650	24.702	8.631
9350000000	18.630	25.966797	25.789	25.723	7.518
9400000000	26.190	24.761891	24.766	24.952	7.748
9450000000	22.419	24.496895	24.411	25.046	8.318
9500000000	32.128	25.163231	25.252	24.947	7.633
9550000000	34.106	24.970912	25.150	25.366	7.191
9600000000	35.693	24.456140	24.543	25.396	7.744
9650000000	23.818	25.924109	25.895	26.517	7.304
9700000000	13.882	25.362652	25.301	25.535	6.956
9750000000	44.009	24.230791	24.320	24.279	8.434
9800000000	26.809	23.103678	23.154	22.934	8.334
9850000000	15.725	21.453512	21.352	21.270	7.332
9900000000	14.416	21.756336	21.521	21.242	8.495
9950000000	17.213	19.680887	19.601	19.552	7.477
10000000000	13.228	18.380114	18.190	18.815	8.387
10050000000	13.077	18.676584	18.569	19.188	7.819
10100000000	14.274	16.005221	16.004	15.458	7.660
10150000000	1.719	12.830756	12.813	12.811	7.559
10200000000	5.797	12.524407	12.477	11.589	7.485
10250000000	15.903	12.358009	12.418	12.630	8.102
10300000000	13.101	12.081162	12.107	12.275	8.126
10350000000	4.732	12.745931	12.684	12.419	7.881
10400000000	14.122	14.036397	14.037	13.775	7.212
10450000000	14.803	15.221743	15.216	16.039	9.456
10500000000	15.652	15.154827	15.161	14.777	7.157
10550000000	1.969	12.190161	11.852	12.344	8.651
10600000000	8.376	9.997875	9.979	9.293	6.810
10650000000	10.813	9.843672	9.856	9.459	7.600
10700000000	-10.706	8.484136	8.286	8.111	7.469
10750000000	33.258	13.137275	13.468	12.844	6.319
10800000000	11.324	13.610780	13.533	14.310	7.808
10850000000	11.669	14.069738	14.030	13.768	8.838
10900000000	15.958	17.254444	17.229	16.871	9.121
10950000000	29.858	17.574225	17.630	16.847	7.761
11000000000	15.646	17.795432	17.789	18.111	6.797
11050000000	10.858	16.727421	16.648	17.575	6.881
11100000000	11.467	18.402661	18.297	17.939	7.065
11150000000	12.862	20.363678	20.347	20.051	8.256
11200000000	19.567	20.904680	20.885	20.164	8.284
11250000000	17.379	19.575689	19.546	19.032	6.939
11300000000	15.369	21.584852	21.543	22.532	7.959
11350000000	17.543	19.845686	19.823	19.077	8.000
11400000000	30.300	20.328026	20.543	20.049	6.935
11450000000	16.359	21.141501	21.072	20.581	9.297
11500000000	24.767	20.690287	20.885	20.819	7.544
11550000000	15.054	21.745910	21.477	20.977	7.791
11600000000	37.769	22.038430	22.101	22.368	8.069
11650000000	28.803	21.504343	21.595	22.068	7.621
11700000000	10.999	22.092625	22.082	21.733	7.762
11750000000	4.002	21.982939	21.837	21.853	6.420
11800000000	10.625	21.979681	21.870	22.533	7.285
11850000000	19.893	21.919074	21.912	22.518	6.422
11900000000	14.627	22.606064	22.469	22.265	7.501
11950000000	30.099	21.744295	21.779	21.331	9.001
12000000000	29.406	21.542061	21.640	21.121	8.037
12050000000	18.896	21.333318	21.289	20.880	7.807
12100000000	17.919	21.542984	21.458	21.984	8.422
12150000000	10.640	22.779247	22.526	22.875	7.738
12200000000	45.978	22.540664	22.938	22.102	6.836
12250000000	19.065	21.445340	21.324	21.388	7.012
12300000000	31.420	21.179241	21.195	20.199	7.270
12350000000	17.867	21.119637	21.104	20.967	7.166
12400000000	24.955	20.608678	20.757	20.486	8.160
12450000000	11.476	21.530883	21.423	21.330	8.333
12500000000	16.645	19.573748	19.503	18.781	8.243
12550000000	23.572	18.396726	18.427	18.834	7.194
12600000000	21.345	17.493678	17.511	17.486	7.340
12650000000	16.787	16.695631	16.696	17.194	7.487
12700000000	23.962	16.131957	16.266	15.992	7.199
12750000000	20.713	13.914893	13.989	13.811	7.311
12800000000	21.535	14.119410	14.300	13.562	7.836
12850000000	16.581	14.173231	14.204	14.561	7.662
12900000000	-14.967	12.747132	12.672	12.835	7.584
12950000000	18.883	13.126553	13.195	12.260	7.014
13000000000	19.900	11.244998	11.450	11.843	6.796
13050000000	13.838	13.170049	13.187	13.024	8.423
13100000000	6.377	12.624667	12.438	13.442	8.001
13150000000	16.676	10.845026	10.882	11.693	8.642
13200000000	-8.120	11.166339	11.085	11.327	7.693
13250000000	14.058	10.208089	10.389	10.114	7.731
13300000000	25.834	9.740022	10.014	9.050	8.697
13350000000	5.091	7.613728	7.593	7.795	6.258
13400000000	-2.046	5.918635	5.844	6.464	9.078
13450000000	-1.730	5.171893	5.129	5.688	7.322
13500000000	10.064	2.574001	2.659	2.689	7.974
13550000000	-1.458	2.346809	2.230	2.951	8.600
13600000000	2.258	-0.752314	-0.693	-0.203	8.565
13650000000	-2.054	-2.186956	-2.183	-2.621	7.868
13700000000	0.120	-1.813294	-1.772	-1.766	7.799
13750000000	8.400	-2.377369	-2.278	-2.010	7.888
13800000000	6.601	0.584527	0.731	1.925	7.166
13850000000	-3.658	1.140887	1.054	-0.576	9.074
13900000000	13.762	-0.214922	-0.150	-0.640	8.503
13950000000	-2.946	0.475220	0.379	-0.005	7.816
14000000000	-22.993	1.417428	1.379	1.302	7.547
14050000000	-1.645	0.536152	0.501	1.187	8.105
14100000000	-7.331	0.995150	0.834	0.592	6.938
14150000000	12.956	3.710347	3.929	3.696	8.291
14200000000	11.553	8.231998	8.266	8.802	7.117
14250000000	11.684	7.674629	7.763	7.369	8.226
14300000000	7.367	6.858882	6.881	6.890	8.615
14350000000	5.213	9.267480	9.196	8.961	7.481
14400000000	17.972	12.187745	12.405	12.201	8.320
14450000000	13.819	11.088280	11.102	11.789	6.869
14500000000	11.566	11.064709	11.068	10.939	7.765
14550000000	7.502	12.778166	12.711	12.849	7.592
14600000000	8.321	14.208716	14.073	14.329	7.036
